"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
90,4,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.595,0.0155233694795943,0.595,0,1.28775004264402,3.54217007891705e-05,0.000354217007891705,0.0455779993844851,0.0455552184558599,0.952,0.180924277221014,1,1000,1000,21.1409888888889,19.3698666511647,0.329722222222222,20260709,1000
120,4,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.717,0.0142446832186609,0.717,0,1.20877168798867,0.000793670939801885,0.00793670939801885,0.0421134154906855,0.0420998353688884,0.936,0.156189211690429,1,1000,1000,21.0849333333333,19.488846703311,0.332866666666667,20260709,1000
150,4,0.9,7,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.814,0.01230463327369,0.814,0,1.13681166436572,0.00196924267230418,0.0196924267230418,0.0356790870616472,0.0357155732559548,0.954,0.139178448475389,1,1000,1000,20.9440666666667,19.3279716809577,0.333593333333333,20260709,1000
20,1,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.164351851851852,0.012607882631509,0.142,0.0340136054421769,2.68950083080908,0.00401941494123846,0.0401941494123846,0.124505240364253,0.124498068098216,0.943287037037037,0.467242819919079,0.864,864,1000,10.496,4.4481346621099,0.45445,20260709,1000
40,1,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.251540041067762,0.0139029951423986,0.245,0.0040650406504065,1.95610536037749,-0.00337617202809706,-0.0337617202809706,0.0830158035422746,0.0830418363620553,0.938398357289528,0.312235975255735,0.974,974,1000,10.5289,4.50145781907335,0.45255,20260709,1000
60,1,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.336354481369587,0.0149931217607647,0.334,0,1.63080483047081,-0.00259424466495733,-0.0259424466495733,0.0628000530409496,0.0628220114221791,0.943605236656596,0.249876805859936,0.993,993,1000,10.5238,4.48728342870626,0.450366666666667,20260709,1000
90,1,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.498498498498498,0.0158192285996103,0.498,0,1.40478712485806,0.000469718755984963,0.00469718755984963,0.0522193479128571,0.0521953191605091,0.940940940940941,0.201827826946344,0.999,999,1000,10.5181111111111,4.52866129837055,0.4526,20260709,1000
120,1,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.591,0.0155473148807117,0.591,0,1.30247753112388,0.000146266866895658,0.00146266866895658,0.0468081785681276,0.0467849972670856,0.937,0.174881583171699,1,1000,1000,10.464375,4.50064661175588,0.456591666666667,20260709,1000
150,1,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.711,0.0143345387090063,0.711,0,1.17864703524186,-0.000238877491385153,-0.00238877491385153,0.0384521511453775,0.0384336626180116,0.957,0.155785647737664,1,1000,1000,10.5057733333333,4.49984167956967,0.451486666666667,20260709,1000
20,2,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.207778915046059,0.0129800586172643,0.203,0.00490196078431373,2.14307790756111,-0.000654526009798109,-0.00654526009798109,0.0934810543367568,0.093435493763415,0.941658137154555,0.364930461827705,0.977,977,1000,21.0514,7.75753145918744,0.04885,20260709,1000
40,2,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.342342342342342,0.0150123093631298,0.342,0,1.613655381093,-0.0011380016855132,-0.011380016855132,0.0605243288985528,0.0605047318414564,0.956956956956957,0.249168233205837,0.999,999,1000,20.958325,7.73387404314118,0.0478,20260709,1000
60,2,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.516,0.0158032907965398,0.516,0,1.39533340745499,0.00139096989819716,0.0139096989819716,0.051775114590992,0.0517679111581406,0.941,0.199095881369403,1,1000,1000,21.0552166666667,7.72333058701594,0.0457,20260709,1000
90,2,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.697,0.0145324120503102,0.697,0,1.22278122444701,0.00199601008289334,0.0199601008289334,0.0408516350126524,0.0408799618807892,0.953,0.16350942248985,1,1000,1000,20.9994111111111,7.73638728970644,0.0463777777777778,20260709,1000
120,2,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.816,0.0122533260790693,0.816,0,1.14153957492661,0.00229419241132672,0.0229419241132672,0.0361052363270724,0.0361600307102152,0.953,0.140800472837271,1,1000,1000,20.9995916666667,7.75657692822994,0.0463333333333333,20260709,1000
150,2,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.87,0.0106348483769163,0.87,0,1.07584594450936,-0.000250503970831276,-0.00250503970831276,0.0329375590351425,0.0329220391931865,0.945,0.125495642612586,1,1000,1000,20.9893266666667,7.77956988928621,0.04704,20260709,1000
20,4,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.27382146439318,0.0141223792193525,0.273,0.00727272727272727,1.95940757316515,0.00117647879816229,0.0117647879816229,0.0851430584191245,0.085108479868145,0.937813440320963,0.32316469971511,0.997,997,1000,42.27975,14.0650702725713,0.000649999999999996,20260709,1000
40,4,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.443,0.0157083099027235,0.443,0,1.46766919762217,-0.000720341811713085,-0.00720341811713085,0.0566370898784613,0.0566133472096175,0.941,0.218731232162762,1,1000,1000,41.891325,13.9798375380689,0.000574999999999998,20260709,1000
60,4,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.588,0.0155645751628498,0.588,0,1.29966557258343,-0.000101094383303996,-0.00101094383303996,0.0471082964082121,0.0470848448969286,0.938,0.178309055323524,1,1000,1000,41.9637833333333,14.0963438938669,0.000816666666666664,20260709,1000
90,4,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.783,0.0130349913693872,0.783,0,1.13888902311669,0.000504134231952683,0.00504134231952683,0.0369009839769637,0.0368859741253161,0.951,0.14406981717347,1,1000,1000,41.9654666666667,14.1088739288897,0.000711111111111111,20260709,1000
