"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
40,2,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.907907907907908,0.0091484880444636,0.907,0,1.04881516558078,-0.000676814237653617,-0.00338407118826808,0.0581226244972703,0.0580974692638451,0.948948948948949,0.236017445469936,0.999,999,1000,21.009875,2.2669040499179,0,20260709,1000
60,2,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.977,0.00474035863622153,0.977,0,1.01110725448783,-0.00053971475495837,-0.00269857377479185,0.050715503116976,0.0506930122025542,0.934,0.193010279419505,1,1000,1000,21.0169,2.28042337265661,0,20260709,1000
90,2,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,1.00315881238843,0.000631762477686232,0.00315881238843116,0.0399966592861393,0.0399816476039405,0.949,0.15785873388423,1,1000,1000,21.0045111111111,2.28346805551727,0,20260709,1000
120,2,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,0.999555129408876,-8.8974118224755e-05,-0.000444870591123775,0.0355405641621056,0.0355229008620284,0.94,0.136747530297607,1,1000,1000,20.9957,2.28349402943538,0,20260709,1000
150,2,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,0.99624702581334,-0.00075059483733203,-0.00375297418666015,0.0311132320141465,0.0311067286253244,0.95,0.122240550217719,1,1000,1000,20.9989,2.29501507592955,0,20260709,1000
20,3,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.723169508525577,0.0141703127613938,0.721,0,1.17585381066918,-0.000111222042970982,-0.00055611021485491,0.0796259873879553,0.0795861222943684,0.934804413239719,0.305401247665514,0.997,997,1000,31.5359,2.76758114630567,0,20260709,1000
40,3,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.942,0.00739161687318817,0.942,0,1.02941865029455,-0.00078917358168798,-0.0039458679084399,0.054918709364171,0.0548969158380513,0.946,0.217982774715569,1,1000,1000,31.489975,2.80461889133891,0,20260709,1000
60,3,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.991,0.00298646948753876,0.991,0,1.00577350784861,8.84830619365395e-05,0.000442415309682698,0.0454291066599309,0.0454064726381572,0.952,0.179493120813785,1,1000,1000,31.4876833333333,2.79239669452542,0,20260709,1000
90,3,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,0.997276931876948,-0.000544613624610363,-0.00272306812305181,0.0372038385648186,0.0371892199750578,0.931,0.145798806104807,1,1000,1000,31.5057666666667,2.79242594787507,0,20260709,1000
120,3,14,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",1,0,1,0,0.999246937506206,-0.00015061249875889,-0.000753062493794449,0.0333200122075228,0.0333036886008253,0.948,0.126372688332454,1,1000,1000,31.4969916666667,2.80213763414239,0,20260709,1000
