"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
40,4,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.957,0.00453602248671675,0.957,0,1.02991303890036,0.000830812416458354,0.00415406208229177,0.0551328332675822,0.0551253094207217,0.939,0.210557548999965,1,2000,2000,42.0144875,14.0152720747366,0.000787500000000002,20260709,2000
60,4,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.992,0.0019919839356782,0.992,0,1.00395138933083,-0.00024355023525377,-0.00121775117626885,0.045910607156862,0.0458997742293363,0.9415,0.173960503103567,1,2000,2000,41.9422,14.0434700747988,0.000791666666666668,20260709,2000
90,4,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",0.9995,0.000499874984371065,0.9995,0,0.996329190671262,-0.000799287002300919,-0.0039964350115046,0.0370353313832984,0.0370346975483457,0.937,0.142009315441249,1,2000,2000,42.0078444444444,14.1646463035902,0.00073888888888889,20260709,2000
120,4,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00469047116225,0.000938094232449616,0.00469047116224808,0.0307690431559269,0.0307756506107,0.953,0.123116906006969,1,2000,2000,42.0067125,14.1589929771936,0.000695833333333335,20260709,2000
150,4,0.3,14,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,0.997383153838275,-0.000523369232345056,-0.00261684616172528,0.0279313908745344,0.0279293113098282,0.948,0.110093448775961,1,2000,2000,41.9952766666667,14.1531355431215,0.000636666666666667,20260709,2000
20,1,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.40952380952381,0.0119973722062503,0.344,0.00289855072463768,1.5341623591304,0.00177329378359492,0.0088664689179746,0.119980751365367,0.119958145159276,0.944642857142857,0.472196061084017,0.84,1680,2000,10.471625,9.57166530645144,0.5802,20260709,2000
40,1,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.677136972193615,0.0106101813869458,0.6575,0,1.22660322994121,0.00228880589860267,0.0114440294930133,0.0851022000038229,0.0851110670521603,0.934603501544799,0.323864926921177,0.971,1942,2000,10.4653625,9.75167294598875,0.5800125,20260709,2000
60,1,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.835933568193256,0.00830800626947295,0.8305,0,1.10329418182554,0.00096789625521615,0.00483948127608075,0.0688981614577079,0.0688876220270556,0.943130347257172,0.264970314847308,0.9935,1987,2000,10.5095333333333,9.82921004079258,0.579075,20260709,2000
90,1,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.947447447447447,0.00499202475931154,0.9465,0,1.03472656641409,0.000724536446380292,0.00362268223190146,0.0564341469115734,0.0564246744804956,0.943443443443443,0.216107001282167,0.999,1998,2000,10.5410555555556,9.95104442124035,0.580977777777778,20260709,2000
120,1,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.9865,0.00258047960658479,0.9865,0,1.01356373338641,0.00106702750316501,0.00533513751582504,0.0488813319216933,0.048880757623282,0.944,0.187290144999327,1,2000,2000,10.5257541666667,9.95694751032643,0.579495833333333,20260709,2000
150,1,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.996,0.00141138230115019,0.996,0,1.00387996806694,0.000280311489749302,0.00140155744874651,0.0439242430654239,0.0439141552786489,0.9525,0.168688056127444,1,2000,2000,10.48639,9.91144758926994,0.580116666666667,20260709,2000
20,2,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.548907388137357,0.0113502572178031,0.5275,0,1.32719785559036,-0.000406308025118152,-0.00203154012559076,0.0966692710500421,0.0966449737743366,0.934443288241415,0.371837356042397,0.961,1922,2000,20.96015,18.5646368935177,0.331075,20260709,2000
40,2,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.850476668339187,0.00798788925728725,0.8475,0,1.09851009870562,0.00200528166527361,0.0100264083263681,0.0671925619969805,0.0672056262031691,0.937782237832413,0.262214896811738,0.9965,1993,2000,21.03475,19.021119548509,0.330825,20260709,2000
60,2,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.9415,0.0052477495176504,0.9415,0,1.02807440482836,-0.00124109024430794,-0.00620545122153968,0.0561885095277275,0.0561881689828078,0.942,0.21614335068799,1,2000,2000,20.9442666666667,19.0730671348158,0.332283333333333,20260709,2000
90,2,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.996,0.00141138230115019,0.996,0,1.00650735196953,0.000769254883951409,0.00384627441975705,0.044089863333834,0.0440855514182169,0.9535,0.17740618956579,1,2000,2000,21.0287944444444,19.2998306870978,0.334277777777778,20260709,2000
120,2,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.999,0.000706753139363385,0.999,0,1.00196348381127,0.000266727975795938,0.00133363987897969,0.038903815195608,0.0388950025989035,0.9565,0.153639197202972,1,2000,2000,20.9954833333333,19.3024550157274,0.334208333333333,20260709,2000
150,2,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00421690167255,0.000843380334510702,0.00421690167255351,0.0361160594258164,0.0361168776884646,0.9425,0.137306565597161,1,2000,2000,21.0170866666667,19.3169904054419,0.333413333333333,20260709,2000
20,4,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.678374310085299,0.0104630045098242,0.676,0,1.23178898548754,0.00465961771070861,0.023298088553543,0.0829166662863713,0.0830267181374125,0.935775213246362,0.322230704631859,0.9965,1993,2000,41.92105,36.7009487203177,0.166525,20260709,2000
40,4,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.903,0.00661781686056663,0.903,0,1.04715171234623,-0.00171462586705443,-0.00857312933527213,0.0605499192814724,0.060559058120931,0.945,0.230924634284682,1,2000,2000,42.1140125,37.5361989750515,0.165625,20260709,2000
60,4,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.9785,0.00324328151722911,0.9785,0,1.01039440583338,-0.000513869583890825,-0.00256934791945412,0.0496493768190104,0.049639622784184,0.9295,0.189219914439256,1,2000,2000,41.7739583333333,37.9125237214763,0.169291666666667,20260709,2000
90,4,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",0.9985,0.000865375640979091,0.9985,0,1.00809715861064,0.00141543440256178,0.00707717201280891,0.0399953910461808,0.0400104354366759,0.94,0.154402777201279,1,2000,2000,42.0357666666667,38.0024544326538,0.166472222222222,20260709,2000
120,4,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,0.996881199235082,-0.000623760152983627,-0.00311880076491813,0.0334667372529567,0.0334641833582669,0.9515,0.13417969522956,1,2000,2000,42.0294541666667,38.0448391686825,0.167858333333333,20260709,2000
150,4,0.9,14,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00561218552276,0.00112243710455265,0.00561218552276324,0.0307165953738617,0.0307294214361341,0.945,0.120134035821254,1,2000,2000,41.936,38.0880991844737,0.168056666666667,20260709,2000
20,1,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.55028962611901,0.0114156234115837,0.5225,0,1.33428157915437,-3.52052469821118e-05,-0.000176026234910559,0.0969683739627357,0.0969428455624147,0.937335439705108,0.369544151070643,0.9495,1899,2000,15.757425,6.11637624212946,0.152725,20260709,2000
40,1,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.848819688598694,0.00802822822551397,0.845,0,1.08689268790356,0.000272090855958473,0.00136045427979237,0.0654829612946324,0.0654670799149071,0.945253641386238,0.257884753255171,0.9955,1991,2000,15.779925,6.13963529628217,0.1492125,20260709,2000
60,1,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.9565,0.00456112650559048,0.9565,0,1.02155542937636,-0.000876187894954916,-0.00438093947477458,0.0542010373846601,0.054194568755308,0.947,0.212000723464423,1,2000,2000,15.7674,6.17529010192406,0.15125,20260709,2000
90,1,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.9915,0.00205277251540447,0.9915,0,1.00550784283237,3.06952022258722e-05,0.000153476011129361,0.044836560898875,0.0448253608667833,0.942,0.173405893696697,1,2000,2000,15.7542777777778,6.15949059785483,0.150783333333333,20260709,2000
120,1,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,0.997300266758748,-0.000539946648250411,-0.00269973324125206,0.0387051910855732,0.0386992805287799,0.948,0.150452389481673,1,2000,2000,15.7570916666667,6.15326100560194,0.149016666666667,20260709,2000
150,1,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,0.996932879821323,-0.000613424035735471,-0.00306712017867736,0.0341154690440955,0.0341124549766241,0.947,0.134071596078472,1,2000,2000,15.75209,6.15872201497314,0.150213333333333,20260709,2000
20,2,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.699899799599198,0.0102581916560476,0.6985,0,1.17538892968939,-0.00223167501142466,-0.0111583750571233,0.0786399954728797,0.0786519608162759,0.94188376753507,0.310484837664334,0.998,1996,2000,31.57675,10.8247854850476,0.0046,20260709,2000
40,2,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.942,0.00522666241496426,0.942,0,1.02718348056122,-0.00127195578754136,-0.00635977893770678,0.0569127599975296,0.0569127454173192,0.9455,0.221268391053758,1,2000,2000,31.4753875,10.8878340179012,0.004675,20260709,2000
60,2,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.992,0.0019919839356782,0.992,0,1.00442182563544,-8.14815808590774e-05,-0.000407407904295387,0.0458999035616287,0.0458884994921533,0.945,0.181120618558259,1,2000,2000,31.517125,10.936430827534,0.00508333333333333,20260709,2000
90,2,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.9995,0.000499874984371065,0.9995,0,1.00286754870176,0.000513643377541478,0.00256821688770739,0.0373484003466357,0.037342594800946,0.952,0.148489414653138,1,2000,2000,31.4467777777778,10.9087914246893,0.00506666666666667,20260709,2000
120,2,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,0.996740175478084,-0.000651964904383184,-0.00325982452191592,0.0326573600081407,0.0326557034736124,0.9455,0.12832986075304,1,2000,2000,31.5250125,10.9466005572542,0.004875,20260709,2000
150,2,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00552098020472,0.001104196040943,0.005520980204715,0.0287653313297807,0.0287793296180721,0.95,0.115027244833445,1,2000,2000,31.5015733333333,10.9646115599033,0.00512666666666667,20260709,2000
20,4,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.781390695347674,0.00924404481101808,0.781,0,1.1326785179528,0.000132284205031225,0.000661421025156123,0.0725405912742165,0.0725225654306311,0.933466733366683,0.284546758052997,0.9995,1999,2000,63.073175,20.0152375534066,0,20260709,2000
40,4,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.9725,0.00365675744341896,0.9725,0,1.02266214180162,0.00130482008922966,0.00652410044614832,0.0512525578820455,0.0512563540702317,0.949,0.203034510022628,1,2000,2000,63.0168875,20.4378427270124,2.49999999999996e-05,20260709,2000
60,4,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",0.9955,0.00149662119455792,0.9955,0,1.00134880708967,-0.000305032938034661,-0.0015251646901733,0.0417882389705848,0.0417789041610459,0.952,0.166246193841505,1,2000,2000,62.8841583333333,20.280505177546,3.33333333333335e-05,20260709,2000
90,4,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00267349256087,0.000534698512174636,0.00267349256087318,0.0350432367890145,0.0350385549491918,0.943,0.135764976230183,1,2000,2000,62.9351388888889,20.427691305207,3.33333333333335e-05,20260709,2000
120,4,0.3,21,Inf,0.75,0,0.3,0.2,0,"primary",1,0,1,0,1.00090509194533,0.000181018389066867,0.000905091945334335,0.0301821635255763,0.0301751600036233,0.947,0.117804989640707,1,2000,2000,63.0055166666667,20.3962297632385,4.16666666666666e-05,20260709,2000
