"N","lambda_bar","cv","D","beta1","cap","compliance","decay","phi","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
40,2,0.6,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.490759753593429,0.0113266466781858,0.478,0.00104493207941484,1.42113234244818,0.000697212241505457,0.00464808161003638,0.0805693984630329,0.0805517331805133,0.929671457905544,0.308995917406612,0.974,1948,2000,10.5164375,7.01173977461835,0.521125,20260722,2000
60,2,0.6,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.644366197183099,0.0107364251736086,0.6405,0,1.24345614015655,0.000264314394123583,0.00176209596082388,0.0642172857194232,0.0642016765444602,0.948692152917505,0.252544228995698,0.994,1988,2000,10.4738083333333,6.97462764396662,0.523416666666667,20260722,2000
90,2,0.6,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.8024012006003,0.00890597637237609,0.802,0,1.11889154044138,-0.000557984770783559,-0.0037198984718904,0.0540697580981803,0.0540591119717985,0.942471235617809,0.206710620688078,0.9995,1999,2000,10.5042722222222,7.05395735784286,0.523155555555556,20260722,2000
20,1,0.9,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.161913523459062,0.0111730362104576,0.088,0.0167597765363128,2.5524915082786,0.00713909493526368,0.0475939662350912,0.165948887009267,0.16602609698193,0.931002759889604,0.652552618427572,0.5435,1087,2000,5.237725,5.05834707840579,0.8335,20260722,2000
40,1,0.9,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.270166453265045,0.0112353629576797,0.211,0,1.88797211590528,0.00228786301115555,0.0152524200743703,0.111537757079053,0.111525517228641,0.942381562099872,0.446393411803086,0.781,1562,2000,5.2449,5.16189554219831,0.8299625,20260722,2000
60,1,0.9,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.377586206896552,0.0116217904544301,0.3285,0.00151975683890578,1.59342861107718,-0.00138399542657849,-0.00922663617718996,0.0937404966402568,0.093723774957985,0.935057471264368,0.359534692770332,0.87,1740,2000,5.25976666666667,5.19696801389782,0.83065,20260722,2000
90,1,0.9,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.539946380697051,0.0115409118793801,0.5035,0,1.39141694571064,0.00407159656847628,0.0271439771231752,0.0771645932326464,0.0772512760626115,0.93887399463807,0.292975551458963,0.9325,1865,2000,5.21592222222222,5.16846938737192,0.832777777777778,20260722,2000
20,2,0.9,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.259414225941423,0.0107160962695935,0.217,0.00458715596330275,1.96589018773504,0.00274695822494317,0.0183130548329545,0.124228216394926,0.124221459464716,0.935445307830245,0.471517726209478,0.8365,1673,2000,10.51225,9.5826733745987,0.57835,20260722,2000
40,2,0.9,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.467115484205075,0.0113537034208073,0.451,0,1.51046049281601,0.00438069203260011,0.0292046135506674,0.0875691812295976,0.0876560367414311,0.928534438114966,0.324243987244688,0.9655,1931,2000,10.509375,9.81380512147922,0.5792125,20260722,2000
60,2,0.9,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.598290598290598,0.010992454981015,0.595,0,1.30176541447471,0.00175971027484306,0.0117314018322871,0.0703637708855482,0.0703680866063876,0.933634992458522,0.264491714929162,0.9945,1989,2000,10.48405,9.85578226246369,0.581108333333333,20260722,2000
90,2,0.9,7,0.15,Inf,0.75,0,0.3,0,"subceiling",0.75025025025025,0.00968406873747578,0.7495,0,1.13641527099104,-0.0024466673315599,-0.0163111155437327,0.0557511199349487,0.0557908406971612,0.947947947947948,0.218146445553017,0.999,1998,2000,10.5222166666667,9.9380266241871,0.581127777777778,20260722,2000
20,1,0.3,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.283783783783784,0.0109278842077511,0.2415,0.00206611570247934,1.82659712325607,-0.00116175053045472,-0.00774500353636483,0.111233084960393,0.111206471436511,0.940070505287897,0.432281428705373,0.851,1702,2000,10.4981,4.41224200015063,0.449725,20260722,2000
40,1,0.3,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.490015360983103,0.0113118144624559,0.4785,0,1.38954036253656,-0.0016648977765984,-0.011099318510656,0.0764332225252947,0.0764317870755403,0.94521249359959,0.297842986427148,0.9765,1953,2000,10.49515,4.47570009613072,0.45185,20260722,2000
60,1,0.3,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.670866935483871,0.0105495301253707,0.6655,0,1.22269701579321,0.000945085265310369,0.00630056843540246,0.0625382324005472,0.0625296122841278,0.942036290322581,0.243690990146328,0.992,1984,2000,10.47915,4.49672112181174,0.454091666666667,20260722,2000
90,1,0.3,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.821821821821822,0.00856087881854355,0.821,0,1.09866227038547,-0.00146688059112585,-0.00977920394083898,0.0515967004723331,0.051604639288617,0.942442442442442,0.199109945427104,0.999,1998,2000,10.4916111111111,4.49181187528551,0.454116666666667,20260722,2000
20,2,0.3,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.40855832908813,0.0110948860101683,0.401,0.00372670807453416,1.5217107265466,-0.00113911129689956,-0.00759407531266373,0.0875945721571105,0.087579666191168,0.936321956189506,0.337843407572463,0.9815,1963,2000,21.03845,7.66821250641077,0.0443,20260722,2000
40,2,0.3,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.6845,0.0103913365357879,0.6845,0,1.20077322219779,-0.000487341006362357,-0.00324894004241572,0.0606893731113453,0.0606761560244239,0.943,0.23998324567935,1,2000,2000,20.9948125,7.72825046718652,0.0465,20260722,2000
60,2,0.3,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.8425,0.00814535910810567,0.8425,0,1.09470102757662,-0.000275134570159374,-0.00183423046772916,0.0511851257683712,0.0511730675297633,0.9355,0.196639531807545,1,2000,2000,21.0017166666667,7.73368608566362,0.046525,20260722,2000
90,2,0.3,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.9515,0.00480352734977121,0.9515,0,1.02873965919216,4.82376016113784e-05,0.000321584010742522,0.0408724953448737,0.040862304415501,0.9475,0.160903644351381,1,2000,2000,21.0009055555556,7.78379338226363,0.0472055555555556,20260722,2000
20,1,0.6,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.282963827304551,0.0108800423131586,0.2425,0.00410677618069815,1.86804799089819,0.00167430359469883,0.0111620239646589,0.115069272893359,0.115047884330655,0.938156359393232,0.447977701653017,0.857,1714,2000,10.568425,6.96207949597409,0.51895,20260722,2000
40,1,0.6,14,0.15,Inf,0.75,0,0.3,0,"subceiling",0.481064483111566,0.011303060839432,0.47,0,1.42974300852692,-0.000864401440690915,-0.00576267627127277,0.082029607549687,0.0820131701180842,0.92835209825998,0.308885724389872,0.977,1954,2000,10.530175,7.04124003481095,0.5216125,20260722,2000
