"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
150,1,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.997,0.00172945077987204,0.997,0,1.00534190872719,0.000713515521908986,0.00356757760954493,0.0427988330985917,0.0427833785352035,0.954,0.171577266731543,1,1000,1000,9.38848,7.52699743504355,0.588026666666667,20260709,1000
40,2,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.8,0.0126808524989648,0.796,0,1.1160373961985,-0.00100582086462001,-0.00502910432310003,0.0706605601909567,0.0706322053833877,0.939698492462312,0.276074329633517,0.995,995,1000,15.289425,9.68740536811167,0.34165,20260709,1000
90,2,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.989,0.00329833291224522,0.989,0,1.01192083544068,0.00101069141156132,0.0050534570578066,0.0463579955497507,0.0463458324422889,0.951,0.183334488796638,1,1000,1000,15.3309666666667,9.6797213331908,0.339855555555556,20260709,1000
150,2,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.996927567775966,-0.000614486444806883,-0.00307243222403442,0.0363026855719131,0.0362897325471587,0.951,0.142353114120574,1,1000,1000,15.3617133333333,9.6743030628461,0.336386666666667,20260709,1000
40,4,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.886,0.0100500746265886,0.886,0,1.07995659736996,0.00215164603534915,0.0107582301767457,0.0668162791549595,0.0668175151110455,0.926,0.245426947665024,1,1000,1000,21.443275,9.96995837160707,0.171125,20260709,1000
90,4,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",0.993,0.00263647491928143,0.993,0,0.985976068118973,-0.00362325090347515,-0.0181162545173758,0.0432036020619732,0.0433337354379673,0.947,0.16436536636666,1,1000,1000,21.4502666666667,10.0036941206796,0.169588888888889,20260709,1000
150,4,0.9,14,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.99958964809426,-8.2070381148075e-05,-0.000410351905740375,0.0323929316120715,0.0323768351132933,0.951,0.127323750208504,1,1000,1000,21.4706866666667,10.0138525475782,0.171073333333333,20260709,1000
40,1,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",0.904904904904905,0.00928106438616229,0.904,0,1.06720359022693,0.0023875894669772,0.011937947334886,0.0617984045185402,0.0618135949353638,0.940940940940941,0.241186926219732,0.999,999,1000,20.265525,7.01549350373773,0.048325,20260709,1000
90,1,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",0.996,0.00199599599197994,0.996,0,0.995841457295756,-0.00130523772674199,-0.00652618863370993,0.0415731425768168,0.0415728457415647,0.942,0.161732066929093,1,1000,1000,20.3191333333333,7.04840223679629,0.0469111111111111,20260709,1000
150,1,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.997588480353421,-0.000482303929315836,-0.00241151964657918,0.0329752492697386,0.0329622862437852,0.937,0.125279070692568,1,1000,1000,20.32408,7.0662380009876,0.0463866666666667,20260709,1000
40,2,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",0.943,0.00733150734842434,0.943,0,1.03244289458939,0.000148609283934148,0.00074304641967074,0.0534721477728214,0.0534456116212574,0.951,0.215676011691454,1,1000,1000,36.3342,9.46457886371612,0.000925000000000001,20260709,1000
90,2,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00601392116865,0.00120278423372938,0.00601392116864691,0.0375495848033148,0.0375500737348855,0.944,0.144002814095849,1,1000,1000,36.4427444444444,9.47080704501884,0.000866666666666667,20260709,1000
150,2,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00169613686452,0.000339227372903012,0.00169613686451506,0.0294145735896549,0.0294018196296129,0.937,0.111770260116541,1,1000,1000,36.47704,9.49869043138286,0.000766666666666668,20260709,1000
